parent,name,size,type
packaging,version.py,14665,file
packaging,_manylinux.py,11488,file
packaging,_musllinux.py,4378,file
packaging,_structures.py,1431,file
packaging,__about__.py,661,file
packaging,__init__.py,497,file
_vendor,pep517,47390,dir
pep517,build.py,3443,file
pep517,check.py,6083,file
pep517,colorlog.py,3994,file
pep517,dirtools.py,607,file
pep517,envbuild.py,6081,file
pep517,in_process,11673,dir
in_process,_in_process.py,10801,file
in_process,__init__.py,872,file
pep517,meta.py,2520,file
pep517,wrappers.py,12721,file
pep517,_compat.py,138,file
pep517,__init__.py,130,file
_vendor,pkg_resources,108849,dir
pkg_resources,py31compat.py,562,file
pkg_resources,__init__.py,108287,file
_vendor,platformdirs,39067,dir
platformdirs,android.py,4068,file
platformdirs,api.py,4910,file
platformdirs,macos.py,2655,file
platformdirs,unix.py,6910,file
platformdirs,version.py,78,file
platformdirs,windows.py,6439,file
platformdirs,__init__.py,12831,file
platformdirs,__main__.py,1176,file
_vendor,pygments,479266,dir
pygments,cmdline.py,23685,file
pygments,console.py,1697,file
pygments,filter.py,1938,file
pygments,filters,40386,dir
filters,__init__.py,40386,file
pygments,formatter.py,2917,file
pygments,formatters,135976,dir
formatters,bbcode.py,3314,file
formatters,groff.py,5086,file
formatters,html.py,35441,file
formatters,img.py,21938,file
formatters,irc.py,5871,file
formatters,latex.py,19351,file
formatters,other.py,5073,file
formatters,pangomarkup.py,2212,file
formatters,rtf.py,5014,file
formatters,svg.py,7335,file
formatters,terminal.py,4674,file
formatters,terminal256.py,11753,file
formatters,_mapping.py,4104,file
formatters,__init__.py,4810,file
pygments,lexer.py,32005,file
pygments,lexers,134782,dir
lexers,python.py,53376,file
lexers,_mapping.py,70232,file
lexers,__init__.py,11174,file
pygments,modeline.py,986,file
pygments,plugin.py,2591,file
pygments,regexopt.py,3072,file
pygments,scanner.py,3092,file
pygments,sphinxext.py,4630,file
pygments,style.py,6257,file
pygments,styles,3419,dir
styles,__init__.py,3419,file
pygments,token.py,6184,file
pygments,unistring.py,63187,file
pygments,util.py,9110,file
pygments,__init__.py,2999,file
pygments,__main__.py,353,file
